ID,CATEGORY_ICD10,NMU_CODE,DESCRIPTION,NMU_TYPE,DATE,BASIC_ADDITIONAL,SECTION,FLC_REMD
2,A00-B99,B03.016.003,Общий (клинический) анализ крови развернутый,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.003 Общий (клинический) анализ крови развернутый
3,A00-B99,B03.016.004,Анализ крови биохимический общетерапевтический,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.004 Анализ крови биохимический общетерапевтический
4,A00-B99,B03.016.006,Общий (клинический) анализ мочи,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,B03.016.006 Общий (клинический) анализ мочи
5,A00-B99,A05.10.006,Регистрация электрокардиограммы,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A05.10.006 Регистрация электрокардиограммы
6,A00-B99,A05.10.004,"Расшифровка, описание и интерпретация электрокардиографических данных",Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"A05.10.004 Расшифровка, описание и интерпретация электрокардиографических данных"
7,A00-B99,A02.03.005,Измерение роста,Инструментальное обследование,Действительно 1 год,1,1,A02.03.005 Измерение роста
8,A00-B99,A02.01.001,Измерение массы тела,Инструментальное обследование,Действительно 120 календарных дней,1,1,A02.01.001 Измерение массы тела
9,A15-A19; B90,B01.055.001,"Прием (осмотр, консультация) врача-фтизиатра первичный",Осмотр/консультация,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,"B01.055.001 Прием (осмотр, консультация) врача-фтизиатра первичный"
10,A15-A19; B90,A06.09.007,Рентгенография легких (в двух проекциях),Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",1,1,A06.09.007 Рентгенография легких (в двух проекциях)
11,A15-A19; B90,A06.09.008,Томография легких,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 120 календарных дней при повторном направлении",2,1,A06.09.008 Томография легких
12,A15; A16; A19; B90,A26.09.001,Микроскопическое исследование мокроты на микобактерии (Mycobacterium spp.),Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A26.09.001 Микроскопическое исследование мокроты на микобактерии (Mycobacterium spp.)
13,A15; A16; A19; B90,A26.09.002.001,Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на МБТ,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A26.09.002.001 Микробиологическое (культуральное) исследование мокроты на плотных питательных средах на МБТ
14,A15; A16; A19; B90,A26.09.002.002,Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на МБТ,Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A26.09.002.002 Микробиологическое (культуральное) исследование мокроты на жидких питательных средах на МБТ
15,A15; A16; A19; B90,A26.09.080,"Молекулярно-биологическое исследование мокроты, бронхоальвеолярной лаважной жидкости или промывных вод бронхов на МБТ",Лабораторное исследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,"A26.09.080 Молекулярно-биологическое исследование мокроты, бронхоальвеолярной лаважной жидкости или промывных вод бронхов на МБТ"
16,A15; A16; A19; B90,A12.09.005,Пульсоксиметрия,Инструментальное обследование,Действительно 90 календарных дней,1,1,A12.09.005 Пульсоксиметрия
17,A15; A16; A19; B90,A12.09.001,Исследование неспровоцированных дыхательных объемов и потоков,Инструментальное обследование,"Действительно 90 календарных дней при первичном направлении, 180 календарных дней при повторном направлении",1,1,A12.09.001 Исследование неспровоцированных дыхательных объемов и потоков
